fixture_id,date,team_a,team_b,a_is_home,goals_a,goals_b,result,a_form_points,a_form_games_count,a_goals_for_avg,a_goals_against_avg,a_possession_avg,a_shots_total_avg,a_shots_on_goal_avg,a_corners_avg,b_form_points,b_form_games_count,b_goals_for_avg,b_goals_against_avg,b_possession_avg,b_shots_total_avg,b_shots_on_goal_avg,b_corners_avg,h2h_games,h2h_a_wins,h2h_a_draws,h2h_a_losses,ranking_a,ranking_b,ranking_diff
256322,2016-03-26,Canada,Mexico,True,0,3,B,2.19,6,1.58,0.17,,,,,3.0,2,2.47,0.0,,,,,0,0,0,0,1516.0,1911.0,-395.0
256328,2016-03-30,Canada,Mexico,False,0,2,B,1.74,7,1.25,0.76,,,,,3.0,3,2.67,0.0,,,,,1,0,0,1,1516.0,1911.0,-395.0
225362,2018-03-24,Canada,New Zealand,True,1,0,A,1.47,10,1.35,1.15,,,,,1.82,11,1.8,0.73,39.07,3.93,0.0,4.67,0,0,0,0,1546.0,1502.0,44.0
255394,2019-06-20,Canada,Mexico,False,1,3,B,2.44,16,2.91,0.55,,,,,1.97,37,2.48,1.35,56.11,10.46,4.23,4.34,2,0,0,2,1603.0,1901.0,-298.0
255378,2019-06-29,Canada,Haiti,False,2,3,B,2.22,18,3.26,0.77,,,,,2.06,20,1.93,0.91,26.0,0.0,0.0,1.0,0,0,0,0,1603.0,1557.0,46.0
362649,2019-10-15,Canada,USA,True,2,0,A,2.19,21,3.14,0.81,,,,,1.7,42,2.11,0.92,43.01,5.62,2.64,3.39,0,0,0,0,1603.0,1720.0,-117.0
362653,2019-11-16,Canada,USA,False,1,4,B,2.3,22,2.99,0.7,,,,,1.48,43,1.84,1.06,43.01,5.62,2.64,3.39,1,1,0,0,1603.0,1720.0,-117.0
706969,2021-06-12,Canada,Haiti,False,1,0,A,2.4,30,4.36,0.71,,,,,1.85,30,2.34,0.82,26.0,0.0,0.0,1.0,1,0,0,1,1784.0,1526.0,258.0
706970,2021-06-16,Canada,Haiti,True,3,0,A,2.48,31,3.92,0.61,,,,,1.61,31,2.03,0.85,26.0,0.0,0.0,1.0,2,1,0,1,1784.0,1526.0,258.0
723376,2021-07-15,Canada,Haiti,False,4,1,A,2.61,33,3.82,0.59,66.0,14.0,5.0,6.0,1.56,35,2.21,1.08,36.71,9.74,2.92,0.03,3,2,0,1,1784.0,1526.0,258.0
704147,2021-07-18,Canada,USA,False,0,1,B,2.66,34,3.85,0.65,62.26,12.93,4.47,4.4,2.56,58,3.12,0.75,63.66,13.35,6.87,7.72,2,1,0,1,1784.0,1858.0,-74.0
746999,2021-07-30,Canada,Mexico,False,1,2,B,2.4,36,3.17,0.6,54.82,13.84,4.24,5.43,2.32,66,1.93,0.38,66.62,18.55,6.61,6.99,3,0,0,3,1784.0,1839.0,-55.0
708813,2021-09-06,Canada,USA,False,1,1,Draw,1.94,38,2.64,0.81,54.43,13.14,3.71,6.71,2.52,63,1.93,0.37,54.09,11.23,4.34,5.17,3,1,0,2,1784.0,1858.0,-74.0
708821,2021-10-08,Canada,Mexico,False,1,1,Draw,1.98,40,2.5,0.73,47.57,12.11,3.67,5.2,2.14,71,1.55,0.58,61.66,16.96,5.47,6.64,4,0,0,4,1784.0,1839.0,-55.0
