group,position,team
A,1,Mexico
A,2,Korea Republic
A,3,South Africa
A,4,Czechia
B,1,Canada
B,2,Switzerland
B,3,Qatar
B,4,Bosnia and Herzegovina
C,1,Brazil
C,2,Morocco
C,3,Haiti
C,4,Scotland
D,1,USA
D,2,Paraguay
D,3,Australia
D,4,Türkiye
E,1,Germany
E,2,Côte d'Ivoire
E,3,Ecuador
E,4,Curaçao
F,1,Netherlands
F,2,Sweden
F,3,Tunisia
F,4,Japan
G,1,Belgium
G,2,Egypt
G,3,IR Iran
G,4,New Zealand
H,1,Spain
H,2,Cabo Verde
H,3,Saudi Arabia
H,4,Uruguay
I,1,France
I,2,Senegal
I,3,Iraq
I,4,Norway
J,1,Argentina
J,2,Algeria
J,3,Austria
J,4,Jordan
K,1,Portugal
K,2,Congo DR
K,3,Uzbekistan
K,4,Colombia
L,1,England
L,2,Croatia
L,3,Ghana
L,4,Panama
